,beds,beds,beds,beds,beds,beds,beds,beds,beds,beds,beds,icu,icu,icu,icu,icu,icu,icu,icu,icu,icu,icu,cliAdmissions,cliAdmissions,cliAdmissions,cliAdmissions,cliAdmissions,cliAdmissions,cliAdmissions,cliAdmissions,cliAdmissions,cliAdmissions,cliAdmissions,testPositivity,testPositivity,testPositivity,testPositivity,testPositivity,testPositivity,testPositivity,testPositivity,testPositivity,testPositivity,testPositivity,positiveTests,positiveTests,positiveTests,positiveTests,positiveTests,positiveTests,positiveTests,positiveTests,positiveTests,positiveTests,positiveTests,totalTests,totalTests,totalTests,totalTests,totalTests,totalTests,totalTests,totalTests,totalTests,totalTests,totalTests
2020-11-08,0.246389824,0.343497757,0.301083902,0.311537016,0.310951954,0.372609819,0.252728799,0.483695652,0.2124183,0.237188365,0.336561032,0.281896277,0.395131086,0.386768447,0.391752577,0.422666666,0.35076923,0.264367816,0.457912457,0.276129032,0.368909512,0.296296296,94.0,26.0,7.0,26.0,40.0,32.0,37.0,13.0,101.0,56.0,23.0,13.4,4.6,13.4,18.3,14.5,14.6,17.7,12.2,13.2,14.7,15.1,2181.0,495.0,491.0,543.0,592.0,901.0,595.0,205.0,1852.0,1148.0,244.0,14187.0,8337.0,3271.0,2916.0,3131.0,5368.0,3388.0,1515.0,12072.0,6495.0,2043.0
2020-11-09,0.255817433,0.348281016,0.275240384,0.297632468,0.309758281,0.356761412,0.272879932,0.485192497,0.220072239,0.234711605,0.341341927,0.300921512,0.36142322,0.353689567,0.391752577,0.448,0.325128205,0.277777777,0.434343434,0.275698924,0.365815931,0.296296296,99.0,26.0,8.0,28.0,40.0,35.0,41.0,14.0,102.0,60.0,23.0,13.9,4.8,13.9,18.9,15.3,15.1,18.5,12.5,13.7,15.1,16.4,3004.0,792.0,561.0,944.0,941.0,1422.0,1066.0,373.0,2535.0,1337.0,1091.0,19846.0,11785.0,3247.0,5068.0,6017.0,9099.0,5424.0,2639.0,15847.0,8706.0,5822.0
2020-11-10,0.240852974,0.33721973,0.242983159,0.276963547,0.288868994,0.337984496,0.214285714,0.482741617,0.20826132,0.211360864,0.318687756,0.297966963,0.331460674,0.358778625,0.367697594,0.449333333,0.317948717,0.249019607,0.414141414,0.265376344,0.349574632,0.284600389,102.0,28.0,8.0,28.0,40.0,37.0,42.0,13.0,106.0,60.0,22.0,14.4,5.2,14.8,19.4,15.8,15.6,18.6,12.8,14.4,15.2,16.4,2333.0,744.0,456.0,831.0,1087.0,1470.0,1028.0,361.0,2556.0,1425.0,705.0,15088.0,15211.0,2368.0,4168.0,6285.0,9130.0,5543.0,2444.0,14452.0,8889.0,4842.0
2020-11-11,0.215712682,0.315396113,0.216346153,0.263434798,0.274865991,0.314556416,0.146469049,0.458435809,0.194974527,0.184997377,0.290121625,0.276913305,0.333333333,0.348600508,0.357388316,0.44,0.31076923,0.210843373,0.41077441,0.252903225,0.328692962,0.266144814,112.0,29.0,9.0,29.0,41.0,42.0,44.0,13.0,108.0,59.0,25.0,14.6,5.2,15.2,19.9,16.2,16.0,19.2,13.8,14.8,15.5,16.9,2179.0,763.0,600.0,795.0,1077.0,1523.0,1144.0,457.0,2650.0,1275.0,732.0,15568.0,16307.0,4021.0,3507.0,7216.0,8897.0,5687.0,2579.0,17320.0,8505.0,4294.0
2020-11-12,0.197904975,0.306195749,0.222266881,0.26357466,0.268647845,0.325064599,0.124,0.442364532,0.190422778,0.187128366,0.272043334,0.25047619,0.310861423,0.366412213,0.336221837,0.414438502,0.307692307,0.158436213,0.427609427,0.249462365,0.326372776,0.255319148,112.0,29.0,10.0,28.0,43.0,42.0,43.0,14.0,110.0,58.0,25.0,15.2,5.3,15.3,20.9,16.9,16.7,19.8,14.0,15.6,15.8,17.2,3298.0,805.0,611.0,899.0,1269.0,1970.0,1088.0,385.0,3089.0,1240.0,1045.0,18712.0,14924.0,4023.0,3693.0,6658.0,10639.0,5158.0,3097.0,17377.0,7840.0,5730.0
2020-11-13,0.213617658,0.30439988,0.231697506,0.276958002,0.261565836,0.332299741,0.160888888,0.450787401,0.201887601,0.207137858,0.269559902,0.269841269,0.307116104,0.349489795,0.34090909,0.410187667,0.305641025,0.150205761,0.464646464,0.257204301,0.317092034,0.242829827,108.0,29.0,9.0,30.0,44.0,45.0,42.0,13.0,108.0,55.0,26.0,15.6,5.3,16.3,20.5,17.1,17.0,19.7,13.9,15.9,16.0,16.8,3372.0,831.0,815.0,796.0,1161.0,1885.0,1170.0,465.0,3044.0,1497.0,984.0,21629.0,15608.0,4335.0,4246.0,7557.0,10626.0,5850.0,3660.0,21207.0,9500.0,5846.0
2020-11-14,0.227534605,0.328644118,0.248178137,0.308276385,0.263641755,0.352110249,0.183555555,0.475838264,0.222393822,0.225817736,0.285145482,0.286031746,0.299625468,0.341836734,0.34744268,0.424731182,0.323045267,0.133744855,0.464646464,0.279569892,0.319412219,0.224105461,112.0,30.0,11.0,31.0,43.0,50.0,43.0,12.0,111.0,53.0,28.0,15.5,5.4,16.1,20.0,16.2,17.0,20.3,13.9,15.9,15.8,16.7,3066.0,585.0,439.0,744.0,887.0,1075.0,1164.0,220.0,2506.0,1153.0,560.0,20365.0,9957.0,3476.0,4095.0,6318.0,6454.0,4604.0,1762.0,16139.0,7543.0,3600.0
2020-11-15,0.245791245,0.345889387,0.217678645,0.335231586,0.283807829,0.370198105,0.149777777,0.468734613,0.24084084,0.236446309,0.310313075,0.313015873,0.320224719,0.2845953,0.377425044,0.430107526,0.351909184,0.152263374,0.427609427,0.298494623,0.327146171,0.212806026,118.0,31.0,12.0,30.0,44.0,51.0,43.0,14.0,114.0,55.0,29.0,15.5,5.4,16.0,19.9,16.0,16.9,20.7,13.3,16.0,15.3,17.1,2575.0,702.0,659.0,781.0,728.0,1343.0,1087.0,365.0,2456.0,1156.0,774.0,16724.0,12801.0,4367.0,4297.0,4604.0,8444.0,5201.0,3588.0,15547.0,8301.0,4314.0
2020-11-16,0.256740563,0.369506726,0.195962994,0.347000759,0.295670225,0.381050818,0.121777777,0.467225234,0.244675369,0.242350061,0.337120049,0.318412698,0.331460674,0.272727272,0.363315696,0.442204301,0.364389233,0.1563786,0.424242424,0.297517123,0.342614075,0.224105461,118.0,33.0,12.0,28.0,46.0,53.0,45.0,15.0,120.0,58.0,29.0,15.4,5.3,16.4,19.5,15.7,16.7,20.7,13.4,15.7,15.1,16.8,2783.0,784.0,577.0,553.0,785.0,1094.0,980.0,313.0,2285.0,1186.0,799.0,19544.0,13267.0,2834.0,3717.0,6021.0,7702.0,4958.0,2022.0,16031.0,8653.0,4766.0
2020-11-17,0.265312242,0.34289985,0.162663295,0.336370539,0.293594306,0.364168819,0.107111111,0.444116198,0.238803404,0.233566433,0.330788026,0.319047619,0.352059925,0.252054794,0.366843033,0.431451612,0.35610766,0.164609053,0.437710437,0.275244993,0.334880123,0.235404896,118.0,34.0,13.0,29.0,45.0,52.0,47.0,16.0,121.0,58.0,29.0,15.0,5.3,16.1,19.0,15.4,16.6,20.6,13.2,15.5,14.6,16.1,2158.0,928.0,590.0,451.0,839.0,1695.0,832.0,339.0,2614.0,1153.0,714.0,17318.0,19368.0,3593.0,2837.0,5475.0,10859.0,4734.0,2498.0,16997.0,8862.0,6246.0
2020-11-18,0.258057262,0.328251121,0.154721753,0.32051282,0.268242245,0.352490421,0.109090909,0.436444885,0.224229908,0.219192448,0.320582877,0.306497622,0.383895131,0.243835616,0.345679012,0.430686406,0.353003161,0.148148148,0.412969283,0.256997455,0.319412219,0.233521657,115.0,35.0,13.0,30.0,44.0,56.0,47.0,16.0,120.0,60.0,30.0,14.9,5.5,15.5,18.2,15.4,16.1,20.1,12.9,15.6,14.8,15.3,2428.0,883.0,581.0,790.0,986.0,1456.0,974.0,436.0,3297.0,1456.0,909.0,17880.0,14445.0,4962.0,4699.0,6619.0,10799.0,5756.0,2944.0,20359.0,9172.0,7375.0
2020-11-19,0.229252636,0.282231027,0.149152542,0.294374009,0.230175871,0.302471412,0.107522123,0.43453897,0.217189822,0.185337874,0.29866501,0.267281105,0.354651162,0.223756906,0.300359712,0.353372434,0.308474576,0.141975308,0.349650349,0.222659667,0.263681592,0.216890595,110.0,33.0,13.0,30.0,40.0,56.0,44.0,16.0,117.0,56.0,28.0,14.3,5.5,15.1,17.1,14.2,15.1,19.8,12.7,14.9,14.5,14.4,2746.0,990.0,760.0,612.0,747.0,1616.0,1011.0,450.0,2487.0,1297.0,831.0,20386.0,18753.0,5740.0,3816.0,6719.0,12474.0,5310.0,3932.0,18971.0,9136.0,6407.0
2020-11-20,0.205160183,0.291265153,0.158818493,0.275976724,0.201552895,0.292369477,0.118322295,0.452169367,0.214907947,0.1687523,0.280114722,0.225607668,0.333333333,0.229050279,0.25091575,0.307568438,0.260657734,0.154320987,0.296703296,0.201909959,0.226988382,0.196881091,112.0,32.0,14.0,29.0,42.0,57.0,41.0,17.0,118.0,58.0,27.0,14.0,5.5,14.3,16.6,13.9,14.7,19.2,12.6,15.0,14.5,13.8,3106.0,843.0,631.0,793.0,991.0,1776.0,1086.0,454.0,2759.0,1445.0,817.0,22872.0,15874.0,4648.0,4946.0,7047.0,11545.0,6667.0,3638.0,18951.0,9401.0,6444.0
2020-11-21,0.198215423,0.285442435,0.160102739,0.263876651,0.189566996,0.283347863,0.141150442,0.479787234,0.224993072,0.158102766,0.265985497,0.19885755,0.29375,0.208450704,0.225746268,0.245989304,0.200517464,0.166666666,0.284090909,0.186408683,0.184731385,0.171026156,108.0,34.0,13.0,30.0,41.0,56.0,41.0,16.0,120.0,57.0,27.0,13.7,5.3,14.2,16.3,14.0,14.5,18.5,12.5,14.8,14.5,13.7,2526.0,667.0,573.0,672.0,684.0,1004.0,889.0,337.0,2128.0,1115.0,632.0,18724.0,14068.0,4713.0,4312.0,4600.0,7080.0,4356.0,2957.0,14583.0,7189.0,4494.0
2020-11-22,0.203922193,0.304789089,0.165243381,0.279671989,0.212183436,0.332135638,0.15609756,0.430555555,0.235145739,0.170983483,0.241390839,0.216361679,0.33125,0.207865168,0.242085661,0.292335115,0.226683937,0.179012345,0.272030651,0.190386427,0.193577981,0.164300202,106.0,34.0,14.0,31.0,41.0,55.0,40.0,16.0,118.0,54.0,28.0,12.9,5.4,14.1,15.8,13.5,14.4,18.1,12.8,14.4,14.4,13.1,2143.0,485.0,626.0,461.0,518.0,1168.0,921.0,320.0,2180.0,1266.0,610.0,21732.0,7514.0,4276.0,3137.0,4527.0,7879.0,5203.0,2710.0,17267.0,9620.0,4726.0
2020-11-23,0.206322662,0.284173802,0.165313968,0.274492878,0.214615111,0.329054054,0.174666666,0.432419432,0.222845391,0.166102968,0.222521008,0.236036036,0.329166666,0.188202247,0.25698324,0.29090909,0.243839169,0.189300411,0.274131274,0.16993464,0.19266055,0.16089613,103.0,31.0,14.0,29.0,39.0,54.0,38.0,16.0,113.0,52.0,26.0,12.6,5.4,13.8,15.4,13.1,14.3,17.6,12.5,14.0,13.8,12.5,2087.0,639.0,664.0,642.0,781.0,1286.0,774.0,237.0,1911.0,936.0,543.0,17404.0,10827.0,4033.0,5002.0,7233.0,9490.0,4894.0,1953.0,17050.0,9490.0,4777.0
2020-11-24,0.196050326,0.274397972,0.165461505,0.265429434,0.216187433,0.305336635,0.179111111,0.384727626,0.211908767,0.166729678,0.205488621,0.229354489,0.320833333,0.182584269,0.255121042,0.274545454,0.24773022,0.197530864,0.233716475,0.167053364,0.191328934,0.171026156,98.0,31.0,14.0,29.0,38.0,52.0,38.0,16.0,109.0,50.0,27.0,12.4,5.8,13.6,15.2,12.7,13.7,17.2,12.6,13.3,13.7,11.9,2536.0,894.0,700.0,579.0,765.0,1321.0,993.0,396.0,2347.0,1294.0,685.0,22484.0,11846.0,4943.0,4018.0,6488.0,11071.0,6482.0,2801.0,21007.0,10201.0,8046.0
2020-11-25,0.19950778,0.27895906,0.155772495,0.230263157,0.207079646,0.255290409,0.195111111,0.378895571,0.203682931,0.170912547,0.22967614,0.21600287,0.308333333,0.173295454,0.240223463,0.258181818,0.217898832,0.199588477,0.196911196,0.169680111,0.193798449,0.152173913,98.0,31.0,14.0,28.0,38.0,49.0,38.0,16.0,108.0,50.0,26.0,12.0,5.9,14.2,15.1,12.3,13.5,17.0,12.3,12.7,13.2,11.6,2478.0,916.0,727.0,663.0,821.0,1363.0,962.0,468.0,2103.0,1140.0,628.0,23130.0,12553.0,4651.0,4102.0,6501.0,11265.0,6193.0,3631.0,17359.0,9212.0,6178.0
2020-11-26,0.222195817,0.294024157,0.133901918,0.24122807,0.219037871,0.240378122,0.199111111,0.332783278,0.22666542,0.200609059,0.268558231,0.21558813,0.310416666,0.169054441,0.251396648,0.25490196,0.194552529,0.209876543,0.13740458,0.194714881,0.200581395,0.147859922,96.0,31.0,12.0,26.0,37.0,47.0,35.0,13.0,100.0,47.0,25.0,11.9,6.5,13.9,15.3,12.8,13.6,17.1,12.2,12.8,13.2,11.8,2429.0,624.0,490.0,535.0,743.0,898.0,813.0,245.0,2024.0,1093.0,545.0,18801.0,5009.0,4474.0,2855.0,5069.0,6498.0,3942.0,2476.0,14206.0,7768.0,3156.0
2020-11-27,0.250316055,0.293817718,0.129764453,0.244298245,0.215994531,0.232500562,0.200444444,0.349945235,0.248225625,0.225142857,0.284724513,0.229502327,0.302083333,0.180758017,0.232774674,0.26916221,0.168612191,0.197530864,0.145038167,0.199814557,0.204457364,0.134099616,95.0,31.0,12.0,25.0,37.0,43.0,35.0,12.0,100.0,47.0,22.0,11.7,7.1,14.0,15.0,12.8,13.1,17.4,12.1,12.6,13.1,11.2,1848.0,496.0,534.0,544.0,808.0,1108.0,767.0,271.0,1750.0,1125.0,481.0,14686.0,4595.0,3753.0,3810.0,5688.0,8895.0,4169.0,2296.0,13269.0,7454.0,5501.0
2020-11-28,0.255055292,0.307520713,0.139344262,0.27368421,0.21602191,0.247196052,0.196444444,0.368131868,0.260151218,0.236761904,0.279460171,0.249821045,0.302083333,0.188235294,0.251396648,0.276292335,0.178988326,0.199588477,0.152091254,0.20676866,0.230620155,0.13877551,100.0,30.0,13.0,22.0,38.0,46.0,36.0,14.0,98.0,48.0,22.0,11.5,7.8,14.3,14.8,12.7,13.1,17.0,12.7,12.4,12.7,10.9,1329.0,700.0,493.0,484.0,484.0,846.0,659.0,230.0,1540.0,756.0,317.0,10353.0,8579.0,3517.0,3462.0,3329.0,5972.0,3700.0,1203.0,11822.0,6073.0,2556.0
2020-11-29,0.245372567,0.322179732,0.158441558,0.273245614,0.198902606,0.254862508,0.198222222,0.376308539,0.252870344,0.222285714,0.257610474,0.257776188,0.283333333,0.183431952,0.225325884,0.256684491,0.197146562,0.189300411,0.159090909,0.20676866,0.240310077,0.144351464,100.0,30.0,13.0,21.0,37.0,49.0,36.0,14.0,101.0,49.0,21.0,12.0,7.7,14.1,15.0,12.8,13.3,16.6,12.5,12.4,12.5,10.9,1439.0,420.0,526.0,440.0,591.0,1141.0,472.0,295.0,1580.0,696.0,450.0,11229.0,7736.0,3973.0,2610.0,4653.0,6816.0,3387.0,2711.0,12002.0,5938.0,3157.0
2020-11-30,0.227139577,0.313575525,0.157757496,0.249122807,0.191766723,0.25256353,0.191555555,0.364783324,0.230841034,0.188,0.241054001,0.252857142,0.277083333,0.165680473,0.219739292,0.245989304,0.204928664,0.195473251,0.147727272,0.20074177,0.265503875,0.136460554,99.0,31.0,13.0,20.0,36.0,46.0,33.0,14.0,98.0,49.0,20.0,11.9,7.8,14.1,15.4,12.7,13.1,16.6,13.0,12.3,12.9,11.2,1936.0,713.0,525.0,525.0,875.0,1080.0,1364.0,313.0,2718.0,2445.0,514.0,17414.0,10776.0,2997.0,3700.0,8401.0,8591.0,8559.0,1904.0,24624.0,19426.0,3813.0
2020-12-01,0.210342915,0.272466539,0.150109409,0.228070175,0.187392942,0.239741302,0.178222222,0.363140676,0.202090917,0.162044072,0.226830848,0.229092208,0.26875,0.159292035,0.201117318,0.228163992,0.183355006,0.20164609,0.147169811,0.184979137,0.241279069,0.136546184,100.0,28.0,13.0,20.0,34.0,45.0,32.0,12.0,97.0,49.0,19.0,12.3,7.4,14.4,15.3,12.8,13.5,16.8,13.0,12.9,13.2,11.8,1998.0,746.0,580.0,364.0,688.0,1085.0,796.0,345.0,2180.0,1087.0,523.0,14057.0,13392.0,3596.0,2752.0,5436.0,7491.0,4819.0,2490.0,14075.0,7153.0,4945.0
2020-12-02,0.195820801,0.237731038,0.136883802,0.214035087,0.172767704,0.222445336,0.160888888,0.358946802,0.188182581,0.145888594,0.217206411,0.206871868,0.264583333,0.162241887,0.197392923,0.233096085,0.155149934,0.191358024,0.164179104,0.16689847,0.232558139,0.113772455,99.0,26.0,12.0,19.0,34.0,42.0,30.0,13.0,95.0,48.0,17.0,12.5,7.4,14.2,15.3,12.8,13.9,16.8,13.0,12.7,13.1,11.8,2126.0,911.0,630.0,588.0,650.0,1192.0,780.0,496.0,1892.0,1056.0,601.0,18145.0,12115.0,4312.0,3585.0,5239.0,8564.0,5133.0,3746.0,17411.0,9040.0,5869.0
2020-12-03,0.181688804,0.244104525,0.135038133,0.240789473,0.160738714,0.21307452,0.158222222,0.366844919,0.183888733,0.138479001,0.21888412,0.199570815,0.258333333,0.17699115,0.216014897,0.238010657,0.14117647,0.20164609,0.183823529,0.161335187,0.210271317,0.112871287,101.0,26.0,12.0,21.0,32.0,46.0,31.0,14.0,103.0,53.0,18.0,12.6,6.8,15.3,14.7,12.5,13.8,16.1,13.6,12.7,13.2,10.9,2589.0,870.0,865.0,880.0,811.0,1591.0,957.0,348.0,2549.0,1420.0,568.0,19668.0,14300.0,4949.0,6074.0,6548.0,12134.0,6169.0,2592.0,18370.0,9967.0,5804.0
2020-12-04,0.174215477,0.273103887,0.143177737,0.260087719,0.156581196,0.215975011,0.185333333,0.364555614,0.193129842,0.134469696,0.225806451,0.191717243,0.239583333,0.179941002,0.221601489,0.239361702,0.132026143,0.228395061,0.199261992,0.161798794,0.213178294,0.103718199,97.0,24.0,12.0,21.0,30.0,44.0,30.0,15.0,100.0,54.0,17.0,12.5,6.4,15.1,14.7,12.3,13.6,15.7,13.4,12.8,13.0,10.5,2238.0,693.0,736.0,542.0,714.0,1217.0,775.0,413.0,2349.0,1266.0,472.0,18438.0,12180.0,5410.0,3812.0,5660.0,10254.0,5193.0,3616.0,17790.0,9298.0,6682.0
2020-12-05,0.174768792,0.302421924,0.16027088,0.271052631,0.182843472,0.211958946,0.201777777,0.381079636,0.207878278,0.140690178,0.247329773,0.198361823,0.25,0.185840707,0.217877094,0.251773049,0.139869281,0.248971193,0.201492537,0.172461752,0.21124031,0.120155038,95.0,25.0,12.0,20.0,29.0,46.0,30.0,14.0,104.0,55.0,17.0,12.6,5.9,15.1,14.9,12.2,13.6,15.4,12.7,12.7,13.2,10.6,2000.0,492.0,532.0,487.0,623.0,965.0,604.0,239.0,1891.0,977.0,492.0,15159.0,11024.0,3776.0,3098.0,4655.0,6961.0,3987.0,2299.0,14702.0,7189.0,3819.0
2020-12-06,0.189345365,0.291586998,0.175179211,0.267982456,0.207437734,0.217759928,0.212,0.39023081,0.216839354,0.161167993,0.255720053,0.207607536,0.260416666,0.20058997,0.216014897,0.267730496,0.151633986,0.265432098,0.208333333,0.167825683,0.203488372,0.139215686,98.0,25.0,14.0,21.0,29.0,44.0,32.0,14.0,105.0,57.0,18.0,12.7,6.1,15.1,14.6,12.4,13.3,15.4,13.2,12.8,13.5,10.3,2157.0,559.0,456.0,375.0,701.0,930.0,554.0,356.0,2033.0,1183.0,406.0,15946.0,8490.0,3608.0,2696.0,4989.0,6722.0,4072.0,2301.0,15465.0,7995.0,3725.0
2020-12-07,0.197638481,0.278840025,0.171776375,0.257017543,0.215531987,0.213966979,0.196,0.388620504,0.216279286,0.164705882,0.245696928,0.212379935,0.2875,0.197640117,0.227188081,0.287234042,0.164705882,0.242798353,0.2,0.173388966,0.186046511,0.153692614,96.0,26.0,13.0,24.0,30.0,45.0,35.0,15.0,104.0,57.0,17.0,12.9,5.9,15.2,14.2,12.6,13.2,14.9,12.9,13.1,13.7,10.1,1966.0,525.0,619.0,469.0,758.0,900.0,611.0,324.0,2028.0,1012.0,515.0,15893.0,9174.0,3320.0,4131.0,6678.0,7396.0,4738.0,2440.0,16013.0,7940.0,4534.0
2020-12-08,0.189026324,0.254620777,0.155797101,0.24122807,0.199521694,0.208389112,0.188888888,0.357644516,0.197239578,0.152194565,0.221886539,0.204255319,0.283333333,0.185840707,0.221601489,0.281914893,0.158169934,0.234567901,0.179104477,0.163653222,0.176356589,0.144554455,90.0,26.0,12.0,23.0,31.0,45.0,35.0,16.0,103.0,56.0,17.0,12.4,5.7,14.5,13.8,12.4,12.7,14.2,12.4,12.7,13.4,9.7,1290.0,532.0,434.0,376.0,599.0,1125.0,539.0,314.0,1616.0,1009.0,556.0,12615.0,13041.0,4158.0,3588.0,5442.0,10358.0,4596.0,3020.0,13091.0,7826.0,6791.0
2020-12-09,0.179887471,0.23113658,0.139692585,0.243421052,0.199590583,0.205265506,0.173777777,0.32287723,0.18436743,0.129062915,0.211737245,0.194109297,0.2875,0.165680473,0.212290502,0.262411347,0.146405228,0.211934156,0.173431734,0.16766467,0.161821705,0.121568627,91.0,26.0,15.0,23.0,30.0,45.0,35.0,15.0,106.0,53.0,18.0,12.3,5.5,14.0,12.9,12.0,12.1,14.2,12.1,13.1,13.3,9.3,2158.0,817.0,719.0,508.0,601.0,1252.0,1122.0,464.0,2609.0,1161.0,603.0,18927.0,13202.0,5953.0,4881.0,5962.0,12255.0,7591.0,4082.0,19447.0,10293.0,7524.0
2020-12-10,0.180015923,0.215218083,0.129438202,0.245614035,0.210669384,0.203257474,0.173333333,0.314424635,0.179253112,0.118857142,0.215784215,0.197802197,0.285416666,0.144970414,0.193668528,0.264184397,0.143624161,0.20781893,0.162361623,0.162929061,0.153100775,0.127201565,90.0,25.0,13.0,22.0,32.0,41.0,33.0,15.0,105.0,49.0,19.0,12.5,5.5,13.1,12.1,11.9,11.6,13.5,11.4,13.0,12.7,9.1,2620.0,790.0,692.0,655.0,602.0,1090.0,594.0,415.0,1914.0,935.0,575.0,18607.0,13477.0,5645.0,5890.0,5228.0,10751.0,5486.0,4415.0,14678.0,8652.0,6495.0
2020-12-11,0.181461932,0.222222222,0.129512635,0.267982456,0.232076112,0.20928157,0.168,0.30802139,0.179974419,0.13326978,0.226502822,0.200853181,0.283333333,0.144970414,0.193668528,0.283687943,0.146206896,0.19787234,0.155555555,0.16643929,0.166011787,0.123505976,87.0,25.0,14.0,21.0,31.0,39.0,33.0,15.0,106.0,45.0,19.0,12.5,5.1,13.0,11.1,11.5,10.9,12.8,11.7,12.8,11.8,9.5,2376.0,765.0,552.0,723.0,612.0,1165.0,788.0,420.0,2306.0,1163.0,744.0,19037.0,19735.0,4249.0,7975.0,6172.0,13951.0,7127.0,3158.0,19460.0,12911.0,8245.0
2020-12-12,0.183542269,0.268642447,0.127901684,0.282017543,0.234794427,0.212533452,0.184,0.321485411,0.189027702,0.156064947,0.242595673,0.194454319,0.279166666,0.170588235,0.186219739,0.304964539,0.151773049,0.191489361,0.141791044,0.178262846,0.190802348,0.154618473,90.0,24.0,14.0,21.0,32.0,42.0,32.0,16.0,107.0,47.0,21.0,12.4,5.1,12.7,10.7,11.2,10.6,12.6,11.8,12.6,11.6,9.2,1340.0,409.0,522.0,349.0,332.0,697.0,469.0,220.0,1161.0,610.0,291.0,11356.0,8586.0,4638.0,3133.0,3079.0,6406.0,3565.0,1859.0,10543.0,5542.0,2839.0
2020-12-13,0.186134318,0.297004461,0.142594296,0.292982456,0.239686327,0.225590726,0.180888888,0.329080276,0.20287887,0.188181296,0.262420806,0.201137171,0.2875,0.219941348,0.20670391,0.289007092,0.173049645,0.187234042,0.148148148,0.190086402,0.244618395,0.178861788,90.0,25.0,13.0,20.0,35.0,42.0,33.0,16.0,107.0,49.0,20.0,12.0,4.9,12.4,10.6,11.2,10.0,12.2,11.4,12.2,11.0,9.0,2175.0,392.0,508.0,417.0,802.0,854.0,501.0,269.0,1799.0,998.0,523.0,19130.0,8978.0,4797.0,3434.0,5720.0,9455.0,4953.0,2324.0,16629.0,9505.0,5952.0
2020-12-14,0.187927015,0.294773741,0.150478796,0.2809482,0.227583846,0.24131016,0.181777777,0.34847675,0.207858048,0.196698762,0.263563295,0.210959885,0.302083333,0.234604105,0.230912476,0.268421052,0.192907801,0.183127572,0.154716981,0.18963165,0.269685039,0.19301848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-15,0.179334726,0.277565328,0.158204895,0.26142355,0.217107523,0.244652406,0.163555555,0.347521551,0.193282636,0.193353474,0.247070639,0.221346704,0.308333333,0.226470588,0.24953445,0.247386759,0.204255319,0.179012345,0.153256704,0.172351068,0.265120967,0.185185185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
