,zip,date,count,tested,7daypos100k,percentage,count_14day,tested_14day,percentage_14day,7daypos100k_14day,Unknown tested,Unknown count,Unknown percentage,<20 tested,<20 count,<20 percentage,20-29 tested,20-29 count,20-29 percentage,30-39 tested,30-39 count,30-39 percentage,40-49 tested,40-49 count,40-49 percentage,50-59 tested,50-59 count,50-59 percentage,60-69 tested,60-69 count,60-69 percentage,70-79 tested,70-79 count,70-79 percentage,80+ tested,80+ count,80+ percentage,Unknown tested_14day,Unknown count_14day,Unknown percentage_14day,<20 tested_14day,<20 count_14day,<20 percentage_14day,20-29 tested_14day,20-29 count_14day,20-29 percentage_14day,30-39 tested_14day,30-39 count_14day,30-39 percentage_14day,40-49 tested_14day,40-49 count_14day,40-49 percentage_14day,50-59 tested_14day,50-59 count_14day,50-59 percentage_14day,60-69 tested_14day,60-69 count_14day,60-69 percentage_14day,70-79 tested_14day,70-79 count_14day,70-79 percentage_14day,80+ tested_14day,80+ count_14day,80+ percentage_14day,population
118,60301,2020-04-19,11.0,50.0,,0,,,0,,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,18.0,0.0,0,9.0,0.0,0,12.0,0.0,0,10.0,0.0,0,7.0,0.0,0,0.0,0.0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,2536.0
119,60302,2020-04-19,84.0,512.0,,0,,,0,,0.0,0.0,0,23.0,0.0,0,52.0,0.0,0,95.0,9.0,0,106.0,13.0,0,102.0,19.0,0,100.0,14.0,0,66.0,10.0,0,52.0,13.0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,32048.0
120,60304,2020-04-19,32.0,226.0,,0,,,0,,0.0,0.0,0,11.0,0.0,0,17.0,0.0,0,62.0,9.0,0,64.0,9.0,0,37.0,0.0,0,41.0,6.0,0,23.0,0.0,0,0.0,0.0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,17641.0
507,60301,2020-04-20,,,,0,,,0,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,2536.0
508,60302,2020-04-20,,,,0,,,0,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,32048.0
509,60304,2020-04-20,,,,0,,,0,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,17641.0
896,60301,2020-04-21,,,,0,,,0,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,2536.0
897,60302,2020-04-21,,,,0,,,0,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,32048.0
898,60304,2020-04-21,,,,0,,,0,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,17641.0
1285,60301,2020-04-22,,,,0,,,0,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,2536.0
1286,60302,2020-04-22,,,,0,,,0,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,32048.0
1287,60304,2020-04-22,,,,0,,,0,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,17641.0
1674,60301,2020-04-23,,,,0,,,0,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,2536.0
1675,60302,2020-04-23,,,,0,,,0,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,32048.0
1676,60304,2020-04-23,,,,0,,,0,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,17641.0
2067,60301,2020-04-24,12.0,61.0,,0,,,0,,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,17.0,0.0,0,9.0,0.0,0,10.0,0.0,0,10.0,0.0,0,6.0,0.0,0,0.0,0.0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,2536.0
2068,60302,2020-04-24,98.0,608.0,,0,,,0,,0.0,0.0,0,28.0,0.0,0,55.0,0.0,0,106.0,10.0,0,107.0,16.0,0,100.0,22.0,0,96.0,15.0,0,64.0,13.0,0,52.0,16.0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,32048.0
2069,60304,2020-04-24,39.0,277.0,,0,,,0,,0.0,0.0,0,13.0,0.0,0,17.0,0.0,0,62.0,11.0,0,59.0,10.0,0,52.0,0.0,0,47.0,7.0,0,22.0,6.0,0,0.0,0.0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,17641.0
2485,60301,2020-04-25,,,,0,,,0,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,2536.0
2486,60302,2020-04-25,,,,0,,,0,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,32048.0
2487,60304,2020-04-25,,,,0,,,0,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,17641.0
2903,60301,2020-04-26,,,,0,,,0,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,2536.0
2904,60302,2020-04-26,,,,0,,,0,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,32048.0
2905,60304,2020-04-26,,,,0,,,0,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,17641.0
3322,60301,2020-04-27,12.0,67.0,,0,,,0,,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,19.0,0.0,0,10.0,0.0,0,11.0,0.0,0,10.0,0.0,0,8.0,0.0,0,0.0,0.0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,2536.0
3323,60302,2020-04-27,102.0,679.0,,0,,,0,,0.0,0.0,0,31.0,0.0,0,62.0,0.0,0,117.0,10.0,0,116.0,18.0,0,108.0,22.0,0,113.0,17.0,0,77.0,13.0,0,55.0,16.0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,32048.0
3324,60304,2020-04-27,44.0,331.0,,0,,,0,,0.0,0.0,0,14.0,0.0,0,24.0,0.0,0,71.0,11.0,0,68.0,11.0,0,67.0,0.0,0,54.0,7.0,0,27.0,7.0,0,6.0,0.0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,17641.0
3751,60301,2020-04-28,,,,0,,,0,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,2536.0
3752,60302,2020-04-28,,,,0,,,0,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,32048.0
3753,60304,2020-04-28,,,,0,,,0,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,17641.0
4180,60301,2020-04-29,14.0,75.0,,0,,,0,,0.0,0.0,0,0.0,0.0,0,7.0,0.0,0,19.0,0.0,0,13.0,0.0,0,12.0,0.0,0,12.0,0.0,0,8.0,0.0,0,0.0,0.0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,2536.0
4181,60302,2020-04-29,110.0,750.0,,0,,,0,,0.0,0.0,0,32.0,0.0,0,70.0,0.0,0,132.0,11.0,0,128.0,21.0,0,120.0,22.0,0,123.0,17.0,0,84.0,15.0,0,61.0,18.0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,32048.0
4182,60304,2020-04-29,46.0,366.0,,0,,,0,,0.0,0.0,0,16.0,0.0,0,31.0,0.0,0,78.0,11.0,0,75.0,11.0,0,75.0,6.0,0,56.0,7.0,0,29.0,7.0,0,6.0,0.0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,17641.0
4617,60301,2020-04-30,14.0,77.0,,0,,,0,,0.0,0.0,0,0.0,0.0,0,8.0,0.0,0,20.0,0.0,0,13.0,0.0,0,12.0,0.0,0,12.0,0.0,0,8.0,0.0,0,0.0,0.0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,2536.0
4618,60302,2020-04-30,114.0,797.0,,0,,,0,,0.0,0.0,0,35.0,0.0,0,78.0,6.0,0,141.0,10.0,0,141.0,22.0,0,123.0,23.0,0,126.0,17.0,0,89.0,15.0,0,64.0,20.0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,32048.0
4619,60304,2020-04-30,46.0,388.0,,0,,,0,,0.0,0.0,0,17.0,0.0,0,32.0,0.0,0,83.0,11.0,0,80.0,11.0,0,80.0,6.0,0,59.0,7.0,0,30.0,7.0,0,7.0,0.0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,17641.0
5061,60301,2020-05-01,,,,0,,,0,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,2536.0
5062,60302,2020-05-01,,,,0,,,0,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,32048.0
5063,60304,2020-05-01,,,,0,,,0,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,17641.0
5507,60301,2020-05-02,15.0,82.0,,0,,,0,,0.0,0.0,0,0.0,0.0,0,10.0,0.0,0,23.0,0.0,0,13.0,0.0,0,12.0,0.0,0,12.0,0.0,0,8.0,0.0,0,0.0,0.0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,2536.0
5508,60302,2020-05-02,125.0,830.0,,0,,,0,,0.0,0.0,0,37.0,0.0,0,82.0,6.0,0,140.0,12.0,0,143.0,23.0,0,127.0,24.0,0,140.0,22.0,0,95.0,17.0,0,66.0,20.0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,32048.0
5509,60304,2020-05-02,48.0,398.0,,0,,,0,,0.0,0.0,0,18.0,0.0,0,33.0,0.0,0,85.0,10.0,0,79.0,11.0,0,83.0,7.0,0,60.0,8.0,0,33.0,7.0,0,7.0,0.0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,17641.0
5958,60301,2020-05-03,,,,0,,,0,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,2536.0
5959,60302,2020-05-03,,,,0,,,0,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,32048.0
5960,60304,2020-05-03,,,,0,,,0,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,17641.0
6409,60301,2020-05-04,,,,0,,,0,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,2536.0
6410,60302,2020-05-04,,,,0,,,0,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,32048.0
6411,60304,2020-05-04,,,,0,,,0,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,17641.0
6860,60301,2020-05-05,,,,0,,,0,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,2536.0
6861,60302,2020-05-05,,,,0,,,0,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,32048.0
6862,60304,2020-05-05,,,,0,,,0,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,17641.0
7309,60301,2020-05-06,16.0,94.0,,0,,,0,,0.0,0.0,0,0.0,0.0,0,11.0,0.0,0,26.0,6.0,0,15.0,0.0,0,16.0,0.0,0,13.0,0.0,0,9.0,0.0,0,0.0,0.0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,2536.0
7310,60302,2020-05-06,136.0,962.0,,0,,,0,,0.0,0.0,0,46.0,0.0,0,100.0,9.0,0,163.0,14.0,0,167.0,26.0,0,148.0,23.0,0,159.0,23.0,0,107.0,17.0,0,72.0,21.0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,32048.0
7311,60304,2020-05-06,49.0,460.0,,0,,,0,,0.0,0.0,0,23.0,0.0,0,45.0,0.0,0,94.0,10.0,0,87.0,11.0,0,93.0,7.0,0,71.0,9.0,0,39.0,7.0,0,8.0,0.0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,17641.0
7770,60301,2020-05-07,16.0,96.0,,0,,,0,,0.0,0.0,0,0.0,0.0,0,12.0,0.0,0,26.0,6.0,0,15.0,0.0,0,17.0,0.0,0,13.0,0.0,0,9.0,0.0,0,0.0,0.0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,2536.0
7771,60302,2020-05-07,138.0,992.0,,0,,,0,,0.0,0.0,0,49.0,0.0,0,105.0,9.0,0,167.0,15.0,0,169.0,26.0,0,150.0,23.0,0,163.0,23.0,0,113.0,18.0,0,76.0,21.0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,32048.0
7772,60304,2020-05-07,51.0,476.0,,0,,,0,,0.0,0.0,0,26.0,0.0,0,47.0,6.0,0,96.0,10.0,0,87.0,11.0,0,98.0,8.0,0,73.0,9.0,0,41.0,7.0,0,8.0,0.0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,17641.0
8235,60301,2020-05-08,,,,0,,,0,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,2536.0
8236,60302,2020-05-08,,,,0,,,0,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,32048.0
8237,60304,2020-05-08,,,,0,,,0,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,17641.0
8700,60301,2020-05-09,,,,0,,,0,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,2536.0
8701,60302,2020-05-09,,,,0,,,0,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,32048.0
8702,60304,2020-05-09,,,,0,,,0,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,17641.0
9165,60301,2020-05-10,,,,0,,,0,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,2536.0
9166,60302,2020-05-10,,,,0,,,0,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,32048.0
9167,60304,2020-05-10,,,,0,,,0,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,17641.0
9633,60301,2020-05-11,17.0,101.0,,0,,,0,,0.0,0.0,0,0.0,0.0,0,12.0,0.0,0,26.0,7.0,0,16.0,0.0,0,18.0,0.0,0,13.0,0.0,0,9.0,0.0,0,6.0,0.0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,2536.0
9634,60302,2020-05-11,145.0,1092.0,,0,,,0,,0.0,0.0,0,61.0,0.0,0,113.0,12.0,0,180.0,16.0,0,188.0,28.0,0,170.0,23.0,0,176.0,22.0,0,123.0,18.0,0,81.0,23.0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,32048.0
9635,60304,2020-05-11,57.0,528.0,,0,,,0,,0.0,0.0,0,32.0,0.0,0,53.0,6.0,0,100.0,11.0,0,98.0,12.0,0,110.0,11.0,0,83.0,10.0,0,44.0,7.0,0,8.0,0.0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,17641.0
10114,60301,2020-05-12,,,,0,,,0,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,2536.0
10115,60302,2020-05-12,,,,0,,,0,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,32048.0
10116,60304,2020-05-12,,,,0,,,0,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,17641.0
10595,60301,2020-05-13,,,,0,,,0,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,2536.0
10596,60302,2020-05-13,,,,0,,,0,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,32048.0
10597,60304,2020-05-13,,,,0,,,0,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,17641.0
11076,60301,2020-05-14,,,,0,,,0,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,2536.0
11077,60302,2020-05-14,,,,0,,,0,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,32048.0
11078,60304,2020-05-14,,,,0,,,0,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,17641.0
11557,60301,2020-05-15,,,,0,,,0,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,2536.0
11558,60302,2020-05-15,,,,0,,,0,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,32048.0
11559,60304,2020-05-15,,,,0,,,0,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,17641.0
12038,60301,2020-05-16,19.0,139.0,,0,,,0,,0.0,0.0,0,10.0,0.0,0,17.0,0.0,0,31.0,7.0,0,21.0,0.0,0,23.0,6.0,0,17.0,0.0,0,13.0,0.0,0,7.0,0.0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,2536.0
12039,60302,2020-05-16,171.0,1385.0,,0,,,0,,0.0,0.0,0,77.0,0.0,0,145.0,15.0,0,226.0,25.0,0,225.0,33.0,0,204.0,27.0,0,209.0,22.0,0,159.0,20.0,0,140.0,25.0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,32048.0
12040,60304,2020-05-16,62.0,629.0,,0,,,0,,0.0,0.0,0,43.0,0.0,0,69.0,8.0,0,114.0,12.0,0,112.0,13.0,0,127.0,11.0,0,98.0,11.0,0,51.0,7.0,0,15.0,0.0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,17641.0
12539,60301,2020-05-17,,,,0,,,0,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,2536.0
12540,60302,2020-05-17,,,,0,,,0,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,32048.0
12541,60304,2020-05-17,,,,0,,,0,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,17641.0
13041,60301,2020-05-18,20.0,147.0,,0,,,0,,0.0,0.0,0,10.0,0.0,0,20.0,0.0,0,32.0,7.0,0,24.0,0.0,0,24.0,6.0,0,17.0,0.0,0,13.0,0.0,0,7.0,0.0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,2536.0
13042,60302,2020-05-18,177.0,1444.0,,0,,,0,,0.0,0.0,0,80.0,0.0,0,154.0,19.0,0,234.0,26.0,0,235.0,33.0,0,216.0,30.0,0,213.0,22.0,0,169.0,19.0,0,143.0,24.0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,32048.0
13043,60304,2020-05-18,62.0,654.0,,0,,,0,,0.0,0.0,0,44.0,0.0,0,73.0,9.0,0,117.0,11.0,0,115.0,13.0,0,134.0,11.0,0,103.0,11.0,0,52.0,7.0,0,16.0,0.0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,17641.0
13546,60301,2020-05-19,,,,0,,,0,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,2536.0
13547,60302,2020-05-19,,,,0,,,0,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,32048.0
13548,60304,2020-05-19,,,,0,,,0,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,17641.0
14051,60301,2020-05-20,,,,0,,,0,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,2536.0
14052,60302,2020-05-20,,,,0,,,0,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,32048.0
14053,60304,2020-05-20,,,,0,,,0,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,17641.0
14556,60301,2020-05-21,,,,0,,,0,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,2536.0
14557,60302,2020-05-21,,,,0,,,0,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,32048.0
14558,60304,2020-05-21,,,,0,,,0,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,17641.0
15062,60301,2020-05-22,21.0,164.0,,0,,,0,,0.0,0.0,0,11.0,0.0,0,23.0,0.0,0,36.0,7.0,0,28.0,0.0,0,27.0,6.0,0,18.0,0.0,0,14.0,0.0,0,7.0,0.0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,2536.0
15063,60302,2020-05-22,186.0,1790.0,,0,,,0,,0.0,0.0,0,96.0,0.0,0,184.0,19.0,0,254.0,26.0,0,266.0,36.0,0,254.0,32.0,0,248.0,23.0,0,219.0,19.0,0,269.0,26.0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,32048.0
